#cleaned version removed '.1' from all the accessions.
Assembly	Genome_Acc	RefSeq_Acc	GenBank_Acc	NCBI_name
ASM15162v1	DF091612	NW_004581387	DF091612	GPS_001612279
ASM15162v1	DF091613	NW_004581388	DF091613	GPS_001612280
ASM15162v1	DF091614	NW_004581389	DF091614	GPS_001612281
ASM15162v1	DF091615	NW_004581390	DF091615	GPS_001612282
ASM15162v1	DF091616	NW_004581391	DF091616	GPS_001612283
ASM15162v1	DF091617	NW_004581392	DF091617	GPS_001612284
ASM15162v1	DF091618	NW_004581393	DF091618	GPS_001612285
ASM15162v1	DF091619	NW_004581394	DF091619	GPS_001612286
ASM15162v1	DF091620	NW_004581395	DF091620	GPS_001612287
ASM15162v1	DF091621	NW_004581396	DF091621	GPS_001612288
ASM15162v1	DF091622	NW_004581397	DF091622	GPS_001612289
ASM15162v1	DF091623	NW_004581398	DF091623	GPS_001612290
ASM15162v1	DF091624	NW_004581399	DF091624	GPS_001612291
ASM15162v1	DF091625	NW_004581400	DF091625	GPS_001612292
ASM15162v1	DF091626	NW_004581401	DF091626	GPS_001612293
ASM15162v1	DF091627	NW_004581402	DF091627	GPS_001612294
ASM15162v1	DF091628	NW_004581403	DF091628	GPS_001612295
ASM15162v1	DF091629	NW_004581404	DF091629	GPS_001612296
ASM15162v1	DF091630	NW_004581405	DF091630	GPS_001612297
ASM15162v1	DF091631	NW_004581406	DF091631	GPS_001612298
ASM15162v1	DF091632	NW_004581407	DF091632	GPS_001612299
ASM15162v1	DF091633	NW_004581408	DF091633	GPS_001612300
ASM15162v1	DF091634	NW_004581409	DF091634	GPS_001612301
ASM15162v1	DF091635	NW_004581410	DF091635	GPS_001612302
ASM15162v1	DF091636	NW_004581411	DF091636	GPS_001612303
ASM15162v1	DF091637	NW_004581412	DF091637	GPS_001612304
ASM15162v1	DF091638	NW_004581413	DF091638	GPS_001612305
ASM15162v1	DF091639	NW_004581414	DF091639	GPS_001612306
ASM15162v1	DF091640	NW_004581415	DF091640	GPS_001612307
ASM15162v1	DF091641	NW_004581416	DF091641	GPS_001612308
ASM15162v1	DF091642	NW_004581417	DF091642	GPS_001612309
ASM15162v1	DF091643	NW_004581418	DF091643	GPS_001612310
ASM15162v1	DF091644	NW_004581419	DF091644	GPS_001612311
ASM15162v1	DF091645	NW_004581420	DF091645	GPS_001612312
ASM15162v1	DF091646	NW_004581421	DF091646	GPS_001612313
ASM15162v1	DF091647	NW_004581422	DF091647	GPS_001612314
ASM15162v1	DF091648	NW_004581423	DF091648	GPS_001612315
ASM15162v1	DF091649	NW_004581424	DF091649	GPS_001612316
ASM15162v1	DF091650	NW_004581425	DF091650	GPS_001612317
ASM15162v1	DF091651	NW_004581426	DF091651	GPS_001612318
ASM15162v1	DF091652	NW_004581427	DF091652	GPS_001612319
ASM15162v1	DF091653	NW_004581428	DF091653	GPS_001612320
ASM15162v1	DF091654	NW_004581429	DF091654	GPS_001612321
ASM15162v1	DF091655	NW_004581430	DF091655	GPS_001612322
ASM15162v1	DF091656	NW_004581431	DF091656	GPS_001612323
ASM15162v1	DF091657	NW_004581432	DF091657	GPS_001612324
ASM15162v1	DF091658	NW_004581433	DF091658	GPS_001612325
ASM15162v1	DF091659	NW_004581434	DF091659	GPS_001612326
ASM15162v1	DF091660	NW_004581435	DF091660	GPS_001612327
ASM15162v1	DF091661	NW_004581436	DF091661	GPS_001612328
ASM15162v1	DF091662	NW_004581437	DF091662	GPS_001612329
ASM15162v1	DF091663	NW_004581438	DF091663	GPS_001612330
ASM15162v1	DF091664	NW_004581439	DF091664	GPS_001612331
ASM15162v1	DF091665	NW_004581440	DF091665	GPS_001612332
ASM15162v1	DF091666	NW_004581441	DF091666	GPS_001612333
ASM15162v1	DF091667	NW_004581442	DF091667	GPS_001612334
ASM15162v1	DF091668	NW_004581443	DF091668	GPS_001612335
ASM15162v1	DF091669	NW_004581444	DF091669	GPS_001612336
ASM15162v1	DF091670	NW_004581445	DF091670	GPS_001612337
ASM15162v1	DF091671	NW_004581446	DF091671	GPS_001612338
ASM15162v1	DF091672	NW_004581447	DF091672	GPS_001612339
ASM15162v1	DF091673	NW_004581448	DF091673	GPS_001612340
ASM15162v1	DF091674	NW_004581449	DF091674	GPS_001612341
ASM15162v1	DF091675	NW_004581450	DF091675	GPS_001612342
ASM15162v1	DF091676	NW_004581451	DF091676	GPS_001612343
ASM15162v1	DF091677	NW_004581452	DF091677	GPS_001612344
ASM15162v1	DF091678	NW_004581453	DF091678	GPS_001612345
ASM15162v1	DF091679	NW_004581454	DF091679	GPS_001612346
ASM15162v1	DF091680	NW_004581455	DF091680	GPS_001612347
ASM15162v1	DF091681	NW_004581456	DF091681	GPS_001612348
ASM15162v1	DF091682	NW_004581457	DF091682	GPS_001612349
ASM15162v1	DF091683	NW_004581458	DF091683	GPS_001612350
ASM15162v1	DF091684	NW_004581459	DF091684	GPS_001612351
ASM15162v1	DF091685	NW_004581460	DF091685	GPS_001612352
ASM15162v1	DF091686	NW_004581461	DF091686	GPS_001612353
ASM15162v1	DF091687	NW_004581462	DF091687	GPS_001612354
ASM15162v1	DF091688	NW_004581463	DF091688	GPS_001612355
ASM15162v1	DF091689	NW_004581464	DF091689	GPS_001612356
ASM15162v1	DF091690	NW_004581465	DF091690	GPS_001612357
ASM15162v1	DF091691	NW_004581466	DF091691	GPS_001612358
ASM15162v1	DF091692	NW_004581467	DF091692	GPS_001612359
ASM15162v1	DF091693	NW_004581468	DF091693	GPS_001612360
